State,Selected meteorological station ,Height above mean sea level in metres,Year,Mean temperature-Min (oC),Mean temperature-Max (oC),Rainfall-Total (mm),Rainfall-No. of days,Mean relative humidity (%)
Kedah,Pulau Langkawi,(6.4m),2008,24.8,31.3,2343.3,176.0,79.2
Kelantan,Kota Bharu,(4.4m),2008,24.0,30.9,3566.2,172.0,79.5
Kelantan,Kuala Krai,(34.9 m),2008,22.7,31.6,3132.3,205.0,86.0
Melaka,Melaka,(8.5m),2008,24.2,31.8,2194.4,164.0,78.7
Pahang,Kuantan,(15.2m),2008,23.5,32.0,3337.5,183.0,85.5
Pahang,Cameron Highlands,"(1,545.0m)",2008,15.2,22.2,3951.6,260.0,88.0
Perak,Ipoh,(40.1m),2008,23.1,32.6,3534.6,226.0,81.1
Perak,Sitiawan,(6.8m),2008,23.6,31.6,2224.5,171.0,83.5
Perlis,Chuping  ,(21.7m),2008,23.6,32.1,1772.4,176.0,81.1
Pulau Pinang,Bayan Lepas,(2.5 m),2008,24.6,31.3,2569.8,184.0,80.3
Pulau Pinang,Butterworth,(3.3m),2008,23.8,31.5,2133.6,177.0,80.0
Sabah,Kota Kinabalu,(2.1m),2008,23.9,31.8,3291.2,221.0,80.8
Sabah,Kudat,(3.5m),2008,23.9,31.3,2962.5,209.0,86.1
Sabah,Sandakan,(12.1m),2008,24.1,31.0,3823.0,215.0,82.8
Sabah,Tawau,(17.5m),2008,23.5,30.9,2185.4,183.0,83.3
Sarawak,Kuching,(20.9m),2008,23.2,31.2,4307.7,248.0,85.0
Sarawak,Miri ,(17.0m),2008,23.4,30.4,2980.2,212.0,82.7
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2008,23.7,31.3,2092.6,167.0,81.4
Selangor,Subang,(16.6m),2008,23.9,32.1,3278.6,203.0,77.0
Terengganu,Kuala Terengganu,(5.2m),2008,24.5,30.7,3609.6,165.0,82.6
Wilayah Persekutuan Labuan,Labuan,(27.9m),2008,24.6,30.8,3823.4,207.0,82.4
Johor,Senai,(37.8m),2009,23.2,31.6,1919.9,173.0,85.7
Johor,Kluang,(88.1m),2009,23.2,31.8,1907.9,161.0,85.2
Kedah,Alor Setar,(3.9m),2009,24.3,32.8,2573.6,173.0,81.5
Kedah,Pulau Langkawi,(6.4m),2009,25.0,31.8,2716.0,167.0,78.4
Kelantan,Kota Bharu,(4.4m),2009,23.9,31.0,3034.6,176.0,80.7
Kelantan,Kuala Krai,(34.9 m),2009,22.8,32.0,3306.5,182.0,86.9
Melaka,Melaka,(8.5m),2009,24.3,31.8,1878.0,163.0,78.9
Pahang,Kuantan,(15.2m),2009,23.7,31.9,3707.0,191.0,84.4
Pahang,Cameron Highlands,"(1,545.0m)",2009,15.3,22.1,3051.2,242.0,89.1
Perak,Ipoh,(40.1m),2009,23.9,32.9,3110.3,217.0,83.0
Perak,Sitiawan,(6.8m),2009,23.8,32.1,2072.0,176.0,83.0
